term_str,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
abreast,5,1.053945127400887e-05,16.533840717981032,18.161341077497564,abreast,NN,NN,0
abroad,33,6.956037840845854e-05,13.811374693509942,32.758503015303766,abroad,RB,RB,0
abrupt,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,abrupt,NN,NN,0
absence,7,1.4755231783612418e-05,16.048413890810792,20.215402857994317,absenc,NN,NN,0
absolute,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,absolut,NN,NN,0
absurd,10,2.107890254801774e-05,15.533840717981032,20.215402857994317,absurd,NN,NN,0
absurdly,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,absurdli,RB,RB,0
abundant,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abund,NN,NN,0
abuse,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abus,NN,NN,0
abyss,9,1.8971012293215967e-05,15.685843811426082,22.0278897183049,abyss,NN,NN,0
accents,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,accent,NNS,NN,0
accept,7,1.4755231783612418e-05,16.048413890810792,18.161341077497564,accept,NN,NN,0
accepted,8,1.6863122038414192e-05,15.855768812868396,22.0278897183049,accept,JJ,JJ,0
accident,12,2.5294683057621287e-05,15.27080631214724,20.215402857994317,accid,NN,NN,0
accomplish,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,accomplish,NN,NN,0
accomplished,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,accomplish,VBN,VB,0
accord,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,accord,NN,NN,0
according,22,4.6373585605639025e-05,14.396337194231098,31.267140966190002,accord,VBG,VB,0
account,28,5.902092713444967e-05,14.04841389081079,32.4191071419225,account,NN,NN,0
accounted,9,1.8971012293215967e-05,15.685843811426082,20.215402857994317,account,VBD,VB,0
accounting,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,account,NN,NN,0
accounts,9,1.8971012293215967e-05,15.685843811426082,20.215402857994317,account,NN,NN,0
accursed,17,3.583413433163016e-05,14.768305971618055,30.055779436609797,accurs,VBN,VB,0
accused,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,accus,VBN,VB,0
accusing,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,accus,VBG,VB,0
accustomed,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,accustom,VBN,VB,0
ach,6,1.2647341528810643e-05,16.27080631214724,13.107701428997157,ach,NN,NN,0
ache,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ach,NN,NN,0
ached,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,ach,NN,NN,0
aches,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ach,NNS,NN,0
achieve,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,achiev,NN,NN,0
achieved,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,achiev,VBN,VB,0
achieving,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,achiev,VBG,VB,0
aching,6,1.2647341528810643e-05,16.27080631214724,15.816785241547501,ach,VBG,VB,0
acknowledge,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acknowledg,NN,NN,0
acknowledged,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,acknowledg,VBD,VB,0
acorn,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,acorn,NN,NN,0
acquaintance,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acquaint,NN,NN,0
acquainted,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acquaint,VBN,VB,0
acquire,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acquir,VB,VB,0
acquired,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acquir,VBN,VB,0
acres,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,acr,NNS,NN,0
acrobatics,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,acrobat,NN,NN,0
across,170,0.0003583413433163016,11.446377876730693,15.517006030607524,across,IN,IN,0
act,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,act,NN,NN,0
acted,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,act,VBN,VB,0
acting,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,act,VBG,VB,0
actual,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,actual,JJ,JJ,0
actually,22,4.6373585605639025e-05,14.396337194231098,30.70958572167535,actual,RB,RB,0
adamant,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,adam,NN,NN,0
adar,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adar,NN,NN,0
add,5,1.053945127400887e-05,16.533840717981032,18.161341077497564,add,VB,VB,0
added,30,6.323670764405322e-05,13.948878217259876,32.645364309990256,ad,VBD,VB,0
adders,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adder,NN,NN,0
adding,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,ad,VBG,VB,0
addition,3,6.323670764405322e-06,17.27080631214724,9.90839262077375,addit,NN,NN,0
additional,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,addit,JJ,JJ,0
additions,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,addit,NN,NN,0
address,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,address,NN,NN,0
addressed,3,6.323670764405322e-06,17.27080631214724,9.90839262077375,address,VBN,VB,0
addressing,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,address,VBG,VB,0
adelard,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,adelard,NN,NN,0
adjoining,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adjoin,VBG,VB,0
adjusted,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adjust,VBN,VB,0
admirable,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,admir,JJ,JJ,0
admiration,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,admir,NN,NN,0
admire,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,admir,NN,NN,0
admirers,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,admir,NNS,NN,0
admiring,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,admir,VBG,VB,0
admit,5,1.053945127400887e-05,16.533840717981032,15.816785241547501,admit,NN,NN,0
admittance,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,admitt,NN,NN,0
admitted,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,admit,VBN,VB,0
adopt,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adopt,NN,NN,0
adopted,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,adopt,VBN,VB,0
adoption,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adopt,NN,NN,0
adrift,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,adrift,NN,NN,0
advance,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,advanc,NN,NN,0
advanced,12,2.5294683057621287e-05,15.27080631214724,26.322682154995128,advanc,JJ,JJ,0
advancing,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,advanc,VBG,VB,0
advantage,4,8.431561019207096e-06,16.855768812868394,13.107701428997157,advantag,NN,NN,0
adventure,15,3.161835382202661e-05,14.948878217259876,25.058441780501063,adventur,NN,NN,0
adventures,20,4.215780509603548e-05,14.533840717981032,30.055779436609797,adventur,NNS,NN,0
adventurous,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,adventur,JJ,JJ,0
advice,34,7.166826866326032e-05,13.768305971618055,32.645364309990256,advic,NN,NN,0
advise,11,2.3186792802819512e-05,15.396337194231098,25.058441780501063,advis,NN,NN,0
advised,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,advis,VBN,VB,0
aear,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aear,NN,NN,0
aearon,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aearon,NN,NN,0
afar,34,7.166826866326032e-05,13.768305971618055,32.86161143197726,afar,NN,NN,0
affair,10,2.107890254801774e-05,15.533840717981032,20.215402857994317,affair,NN,NN,0
affairs,15,3.161835382202661e-05,14.948878217259876,27.442411609245358,affair,NNS,NN,0
affect,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,affect,NN,NN,0
affection,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,affect,NN,NN,0
affinity,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,affin,NN,NN,0
afflicted,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afflict,VBN,VB,0
afford,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,afford,NN,NN,0
affray,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,affray,NN,NN,0
afield,7,1.4755231783612418e-05,16.048413890810792,22.0278897183049,afield,NN,NN,0
afire,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afir,NN,NN,0
aflame,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aflam,NN,NN,0
afloat,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afloat,NN,NN,0
afoot,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,afoot,NN,NN,0
afore,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afor,RB,RB,0
aforetime,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aforetim,NN,NN,0
afraid,101,0.00021289691573497918,12.1975573301166,20.80544463257402,afraid,NN,NN,0
afresh,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afresh,NN,NN,0
after,500,0.001053945127400887,9.889984528206309,0.0,after,IN,IN,1
afternoon,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0
afternoons,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afternoon,NN,NN,0
afterthought,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,afterthought,NN,NN,0
afterward,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,afterward,RB,RB,0
afterwards,29,6.112881738925145e-05,13.997787817740823,32.884823218490716,afterward,NNS,NN,0
again,1045,0.002202745316267854,8.82648158590015,0.0,again,RB,RB,1
against,266,0.0005606988077772719,10.800486377367205,6.914458884661615,against,IN,IN,1
age,53,0.00011171818350449402,13.127848358305195,31.79024414251979,age,NN,NN,0
aged,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,age,VBN,VB,0
ageing,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,age,VBG,VB,0
ageless,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,ageless,NN,NN,0
agelong,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,agelong,RB,RB,0
ages,16,3.3726244076828385e-05,14.855768812868396,30.055779436609797,age,NNS,NN,0
aggrieved,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aggriev,VBN,VB,0
agh,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,agh,NN,NN,0
aghast,5,1.053945127400887e-05,16.533840717981032,13.107701428997157,aghast,NN,NN,0
agility,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,agil,NN,NN,0
agin,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,agin,NN,NN,0
agitation,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,agit,NN,NN,0
aglar,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,aglar,NN,NN,0
aglarond,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,aglarond,NN,NN,0
ago,190,0.00040049914841233707,11.285913204537447,9.506012827421854,ago,RB,RB,0
agony,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,agoni,NN,NN,0
agree,8,1.6863122038414192e-05,15.855768812868396,22.0278897183049,agre,NN,NN,0
agreed,16,3.3726244076828385e-05,14.855768812868396,28.430805715988633,agre,VBD,VB,0
agreement,5,1.053945127400887e-05,16.533840717981032,18.161341077497564,agreement,NN,NN,0
agricultural,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,agricultur,JJ,JJ,0
ah,63,0.00013279708605251175,12.878488889368478,31.79024414251979,ah,NN,NN,0
ahead,139,0.0002929967454174466,11.736827740144887,21.769646436981432,ahead,RB,RB,0
ai,10,2.107890254801774e-05,15.533840717981032,18.161341077497564,ai,NN,NN,0
aid,51,0.00010750240299489047,13.183343470896899,32.79945663977042,aid,NN,NN,0
aided,7,1.4755231783612418e-05,16.048413890810792,22.0278897183049,aid,VBD,VB,0
aiding,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,aid,VBG,VB,0
aiglos,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aiglo,NN,NN,0
aii,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aii,NN,NN,0
ailing,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,ail,VBG,VB,0
aim,3,6.323670764405322e-06,17.27080631214724,9.90839262077375,aim,NN,NN,0
aimed,7,1.4755231783612418e-05,16.048413890810792,22.0278897183049,aim,VBN,VB,0
aimlessly,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,aimlessli,RB,RB,0
ain,10,2.107890254801774e-05,15.533840717981032,23.633570483095003,ain,NN,NN,1
air,228,0.00048059897809480447,11.022878798703653,4.22164240047701,air,NN,NN,0
airetâri,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,airetâri,NN,NN,0
airless,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,airless,NN,NN,0
airs,11,2.3186792802819512e-05,15.396337194231098,23.633570483095003,air,NNS,NN,0
airy,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,airi,NN,NN,0
aisle,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,aisl,NN,NN,0
aisles,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,aisl,NNS,NN,0
aiya,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,aiya,NN,NN,0
ajar,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,ajar,NN,NN,0
akin,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,akin,NN,NN,0
alarm,15,3.161835382202661e-05,14.948878217259876,29.29883569919518,alarm,NN,NN,0
alarmed,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,alarm,NN,NN,0
alarming,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,alarm,VBG,VB,0
alas,75,0.00015809176911013304,12.626950122372515,32.11155887321959,ala,NN,NN,0
alcove,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alcov,NN,NN,0
alcoves,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,alcov,NNS,NN,0
aldalómë,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aldalómë,NN,NN,0
aldaron,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aldaron,NN,NN,0
alder,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,alder,NN,NN,0
aldor,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aldor,NN,NN,0
ale,12,2.5294683057621287e-05,15.27080631214724,20.215402857994317,ale,NN,NN,0
alert,4,8.431561019207096e-06,16.855768812868394,13.107701428997157,alert,NN,NN,0
alfirin,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alfirin,NN,NN,0
alien,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,alien,NN,NN,0
alight,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,alight,NN,NN,0
alighted,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alight,NN,NN,0
alike,12,2.5294683057621287e-05,15.27080631214724,27.442411609245358,alik,RB,RB,0
alive,53,0.00011171818350449402,13.127848358305195,31.419171443350706,aliv,JJ,JJ,0
all,2352,0.0049577578792937725,7.656096468032031,0.0,all,DT,DT,1
allay,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,allay,NN,NN,0
allegiance,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,allegi,NN,NN,0
alley,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alley,NN,NN,0
alleys,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alley,NNS,NN,0
alliance,9,1.8971012293215967e-05,15.685843811426082,23.633570483095003,allianc,NN,NN,0
alliances,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,allianc,NNS,NN,0
allied,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,alli,JJ,JJ,0
allies,9,1.8971012293215967e-05,15.685843811426082,22.0278897183049,alli,NNS,NN,0
allotted,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,allot,VBN,VB,0
allow,15,3.161835382202661e-05,14.948878217259876,29.29883569919518,allow,VB,VB,0
allowance,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,allow,NN,NN,0
allowed,37,7.799193942766564e-05,13.646315447239445,32.645364309990256,allow,VBN,VB,0
allows,7,1.4755231783612418e-05,16.048413890810792,20.215402857994317,allow,NN,NN,0
allude,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,allud,NN,NN,0
allured,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,allur,VBN,VB,0
almost,203,0.0004279017217247601,11.19043289568322,13.195342796780716,almost,RB,RB,0
aloft,15,3.161835382202661e-05,14.948878217259876,27.442411609245358,aloft,RB,RB,0
alone,187,0.00039417547764793176,11.308874352980759,10.76267564406396,alon,RB,RB,0
along,233,0.0004911384293688133,10.991582668214114,17.72322286395452,along,IN,IN,0
alongside,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,alongsid,NN,NN,0
aloof,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aloof,NN,NN,0
aloud,42,8.853139070167451e-05,13.463451390089634,32.758503015303766,aloud,NN,NN,0
already,269,0.0005670224785416772,10.784306450311771,2.838342886701409,alreadi,RB,RB,0
also,227,0.0004784910878400027,11.02922032557748,13.195342796780716,also,RB,RB,0
alter,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,alter,NN,NN,0
altered,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alter,NN,NN,0
altering,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,alter,VBG,VB,0
alternated,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,altern,VBN,VB,0
although,11,2.3186792802819512e-05,15.396337194231098,27.442411609245358,although,IN,IN,0
altogether,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,altogeth,RB,RB,0
always,134,0.0002824572941434377,11.789679622410622,23.59891327954083,alway,RB,RB,0
am,473,0.000997032090521239,9.970072439529,4.22164240047701,am,VBP,VB,1
amaze,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amaz,NN,NN,0
amazed,19,4.004991484123371e-05,14.607841299424809,30.70958572167535,amaz,VBN,VB,0
amazement,27,5.69130368796479e-05,14.100881310704926,32.86161143197726,amaz,NN,NN,0
amazing,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,amaz,VBG,VB,0
ambar,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambar,NN,NN,0
ambaróna,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambaróna,NN,NN,0
ambassador,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambassador,NN,NN,0
ambassadors,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambassador,NNS,NN,0
amble,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambl,JJ,JJ,0
ambush,5,1.053945127400887e-05,16.533840717981032,13.107701428997157,ambush,NN,NN,0
ambushed,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambush,VBN,VB,0
ambushing,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ambush,VBG,VB,0
amend,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,amend,NN,NN,0
amended,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amend,NN,NN,0
amends,5,1.053945127400887e-05,16.533840717981032,18.161341077497564,amend,NNS,NN,0
amethyst,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,amethyst,NN,NN,0
amid,48,0.00010117873223048515,13.27080631214724,31.419171443350706,amid,IN,IN,0
amidmost,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amidmost,NN,NN,0
amidst,5,1.053945127400887e-05,16.533840717981032,15.816785241547501,amidst,NN,NN,0
amiss,10,2.107890254801774e-05,15.533840717981032,22.0278897183049,amiss,NN,NN,0
ammen,3,6.323670764405322e-06,17.27080631214724,9.90839262077375,ammen,NN,NN,0
amon,24,5.0589366115242574e-05,14.27080631214724,27.442411609245358,amon,NN,NN,0
among,237,0.0004995699903880205,10.967025563970136,5.580488285039572,among,IN,IN,0
amongst,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amongst,NN,NN,0
amount,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amount,NN,NN,0
amroth,35,7.377615891806209e-05,13.726485795923429,28.430805715988633,amroth,DT,DT,0
amuse,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,amus,NN,NN,0
amused,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,amus,VBN,VB,0
amusement,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,amus,NN,NN,0
amusing,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,amus,NN,NN,0
an,711,0.0014987099711640613,9.38206306324898,0.0,an,DT,DT,1
anann,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,anann,NN,NN,0
anborn,14,2.9510463567224836e-05,15.04841389081079,9.90839262077375,anborn,NNP,NN,0
ancalagon,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ancalagon,NN,NN,0
ancalima,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,ancalima,NN,NN,0
anchored,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,anchor,NN,NN,0
ancient,81,0.0001707391106389437,12.51591880998377,25.29072861998052,ancient,NN,NN,0
ancientry,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,ancientri,NN,NN,0
and,19596,0.041306217433095566,4.597497236585544,0.0,and,CC,CC,1
andave,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,andav,VB,VB,0
andjools,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,andjool,NNS,NN,0
andros,13,2.740257331242306e-05,15.155329094727303,15.816785241547501,andro,NNS,NN,0
anduin,68,0.00014333653732652064,12.768305971618055,32.11155887321959,anduin,NN,NN,0
andy,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,andi,NNP,NN,0
andënã,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,andënã,NN,NN,0
andëril,6,1.2647341528810643e-05,16.27080631214724,13.107701428997157,andëril,NN,NN,0
andúril,14,2.9510463567224836e-05,15.04841389081079,20.215402857994317,andúril,NN,NN,0
anemones,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,anemon,NNS,NN,0
anew,9,1.8971012293215967e-05,15.685843811426082,23.633570483095003,anew,NN,NN,0
anfalas,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,anfala,NNS,NN,0
angband,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,angband,NN,NN,0
angbor,3,6.323670764405322e-06,17.27080631214724,5.954196310386875,angbor,NN,NN,0
angelica,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,angelica,NN,NN,0
anger,27,5.69130368796479e-05,14.100881310704926,32.645364309990256,anger,NN,NN,0
angered,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,anger,JJ,JJ,0
angers,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,anger,NNS,NN,0
angle,7,1.4755231783612418e-05,16.048413890810792,22.0278897183049,angl,NN,NN,0
angmar,5,1.053945127400887e-05,16.533840717981032,18.161341077497564,angmar,NN,NN,0
angren,3,6.323670764405322e-06,17.27080631214724,5.954196310386875,angren,NN,NN,0
angrenost,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,angrenost,NN,NN,0
angrier,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,angrier,NN,NN,0
angrily,8,1.6863122038414192e-05,15.855768812868396,22.0278897183049,angrili,NN,NN,0
angry,27,5.69130368796479e-05,14.100881310704926,32.4191071419225,angri,JJ,JJ,0
anguish,6,1.2647341528810643e-05,16.27080631214724,18.161341077497564,anguish,NN,NN,0
anigh,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,anigh,NN,NN,0
animal,10,2.107890254801774e-05,15.533840717981032,25.058441780501063,anim,NN,NN,0
animals,5,1.053945127400887e-05,16.533840717981032,15.816785241547501,anim,NNS,NN,0
ankle,8,1.6863122038414192e-05,15.855768812868396,15.816785241547501,ankl,NN,NN,0
ankles,5,1.053945127400887e-05,16.533840717981032,9.90839262077375,ankl,NNS,NN,0
